X;Y;Z;Strati;Cutoff
550551.8105;7821752.867;-8945.320313;0;0.499530473
550551.8105;7821734.102;-8942.900391;0;0.806036888
550551.8105;7821715.328;-8940.299805;0;0.028764756
550551.8105;7821696.559;-8936.379883;0;0.58240355
550551.8105;7821677.789;-8934.129883;0;0.091279003
550551.8105;7821659.02;-8934.540039;0;0.409424219
550551.8105;7821640.25;-8933.69043;0;0.739394202
550551.8105;7821621.48;-8932.799805;0;0.931324816
550551.8105;7821602.711;-8933.919922;0;0.289922411
550551.8105;7821583.941;-8933.129883;0;0.909346778
550551.8105;7821565.168;-8933.589844;0;0.515823857
550551.8105;7821546.398;-8933.740234;0;0.702425668
550551.8105;7821527.629;-8931.820313;0;0.457640737
550551.8105;7821508.859;-8929.799805;0;0.371237899
550551.8105;7821490.09;-8926.169922;0;0.050742031
550551.8105;7821471.32;-8918.349609;0;0.1297463
550551.8105;7821452.551;-8914.30957;0;0.295842585
550551.8105;7821433.781;-8908.639648;0;0.394984436
550551.8105;7821415.008;-8906.160156;0;0.449266123
550551.8105;7821396.238;-8904.480469;0;0.043076229
550551.8105;7821377.469;-8906.639648;0;0.04894937
550551.8105;7821358.699;-8911.959961;0;0.530170842
550551.8105;7821339.93;-8914.5;0;0.992860244
550551.8105;7821321.16;-8914.160156;0;0.113970933
550551.8105;7821302.391;-8914.740234;0;0.250008203
550551.8105;7821283.617;-8912.269531;0;0.887336072
550551.8105;7821264.848;-8909.349609;0;0.546570639
550551.8105;7821246.078;-8907.519531;0;0.30960392
550551.8105;7821227.309;-8907.040039;0;0.336376958
550551.8105;7821208.539;-8905.900391;0;0.097229631
550551.8105;7821189.77;-8904.410156;0;0.452130324
550551.8105;7821171;-8901.910156;0;0.155531726
550551.8105;7821152.23;-8900.94043;0;0.666271603
550551.8105;7821133.457;-8898.889648;0;0.270091779
550551.8105;7821114.691;-8898.549805;0;0.238995959
550551.8105;7821095.918;-8897.25;0;0.256103362
550551.8105;7821077.148;-8895.759766;0;0.930792668
550551.8105;7821058.379;-8893.089844;0;0.660217846
550551.8105;7821039.609;-8891.040039;0;0.936179795
550551.8105;7821020.84;-8889.349609;0;0.804049135
550551.8105;7821002.07;-8888.160156;0;0.772561966
550551.8105;7820983.297;-8883.349609;0;0.349557157
550551.8105;7820964.531;-8879.530273;0;0.75845829
550551.8105;7820945.758;-8876.150391;0;0.653445821
550551.8105;7820926.988;-8874.049805;0;0.710472262
550551.8105;7820908.219;-8871.570313;0;0.795792097
550551.8105;7820889.449;-8870.389648;0;0.353515592
550551.8105;7820870.68;-8868.099609;0;0.572005905
550551.8105;7820851.91;-8865.730469;0;0.604089405
550551.8105;7820833.141;-8861.110352;0;0.145804213
550551.8105;7820814.371;-8859.410156;0;0.486577797
550551.8105;7820795.598;-8858.349609;0;0.531344838
550551.8105;7820776.828;-8856.129883;0;0.306842316
550551.8105;7820758.059;-8851.919922;0;0.01705881
550551.8105;7820739.289;-8847.330078;0;0.832082332
550551.8105;7820720.52;-8843.290039;0;0.540999863
550551.8105;7820701.75;-8838.150391;0;0.532480954
550551.8105;7820682.98;-8831.580078;0;0.516276183
550551.8105;7820664.211;-8826.469727;0;0.999287447
550551.8105;7820645.438;-8821.240234;0;0.410525218
550551.8105;7820626.668;-8816.570313;0;0.694541749
550551.8105;7820607.898;-8810.360352;0;0.637471413
550551.8105;7820589.129;-8809.830078;0;0.714211896
550551.8105;7820570.359;-8810.709961;0;0.784507588
550551.8105;7820551.59;-8812.870117;0;0.127143815
550551.8105;7820532.82;-8811.889648;0;0.032729579
550551.8105;7820514.051;-8811.870117;0;0.640244209
550551.8105;7820495.281;-8809.080078;0;0.442116795
550551.8105;7820476.508;-8802.990234;0;0.662658523
550551.8105;7820457.738;-8799.629883;0;0.724721948
550551.8105;7820438.969;-8797.320313;0;0.318801103
550551.8105;7820420.199;-8794.009766;0;0.282698961
550551.8105;7820401.43;-8791.049805;0;0.781715596
550551.8105;7820382.66;-8787.55957;0;0.495145215
550551.8105;7820363.887;-8787.900391;0;0.584342071
550551.8105;7820345.121;-8789.589844;0;0.776755508
550551.8105;7820326.348;-8788.959961;0;0.570472156
550551.8105;7820307.578;-8785.860352;0;0.797612871
550551.8105;7820288.809;-8781.580078;0;0.508564935
550551.8105;7820270.039;-8776.320313;0;0.882649091
550551.8105;7820251.27;-8773.650391;0;0.821945473
550551.8105;7820232.5;-8771.370117;0;0.234788064
550551.8105;7820213.73;-8767.490234;0;0.317863618
550551.8105;7820194.961;-8763.700195;0;0.24618902
550551.8105;7820176.188;-8761.719727;0;0.393015571
550551.8105;7820157.418;-8760.450195;0;0.902034326
550551.8105;7820138.648;-8759.959961;0;0.756676912
550551.8105;7820119.879;-8761.139648;0;0.358121106
550551.8105;7820101.109;-8763.889648;0;0.176276754
550551.8105;7820082.34;-8768.69043;0;0.394177081
550551.8105;7820063.57;-8771.849609;0;0.121304705
550551.8105;7820044.801;-8775.009766;0;0.709481985
550551.8105;7820026.027;-8779.419922;0;0.638876615
550551.8105;7820007.258;-8781.480469;0;0.113638761
550551.8105;7819988.488;-8781.419922;0;0.288198314
550551.8105;7819969.719;-8781;0;0.736206458
550551.8105;7819950.949;-8780.94043;0;0.711216862
550551.8105;7819932.18;-8781.769531;0;0.591746538
550551.8105;7819913.41;-8783.950195;0;0.109185534
550551.8105;7819894.641;-8786.330078;0;0.592418083
550551.8105;7819875.867;-8788.320313;0;0.12763484
550551.8105;7819857.098;-8789.860352;0;0.32466661
550551.8105;7819838.328;-8792.55957;0;0.632078071
550551.8105;7819819.559;-8795.929688;0;0.590119833
550551.8105;7819800.789;-8798.549805;0;0.610627226
550551.8105;7819782.02;-8799.179688;0;0.208354262
550551.8105;7819763.25;-8800.160156;0;0.503751731
550551.8105;7819744.48;-8800.110352;0;0.753964039
550551.8105;7819725.711;-8799.700195;0;0.705412181
550551.8105;7819706.938;-8799.160156;0;0.331306532
550551.8105;7819688.168;-8799.339844;0;0.903682643
550551.8105;7819669.398;-8798.269531;0;0.089842036
550551.8105;7819650.629;-8797;0;0.733125077
550551.8105;7819631.859;-8794.370117;0;0.53378113
550551.8105;7819613.09;-8794.299805;0;0.373524473
550551.8105;7819594.32;-8793.009766;0;0.574126886
550551.8105;7819575.551;-8791.519531;0;0.473871048
550551.8105;7819556.777;-8790.650391;0;0.718755167
550551.8105;7819538.008;-8790.459961;0;0.711056526
550551.8105;7819519.238;-8789.660156;0;0.928145571
550551.8105;7819500.469;-8789.610352;0;0.820320208
550551.8105;7819481.699;-8786.55957;0;0.878313681
550551.8105;7819462.93;-8785.400391;0;0.983554183
550551.8105;7819444.16;-8783.469727;0;0.531338787
550551.8105;7819425.391;-8780.910156;0;0.622686336
550551.8105;7819406.617;-8778.05957;0;0.346259643
550551.8105;7819387.852;-8775.080078;0;0.628471656
550551.8105;7819369.078;-8772.5;0;0.140809284
550551.8105;7819350.309;-8770.740234;0;0.80915893
550551.8105;7819331.539;-8768.589844;0;0.275198935
550551.8105;7819312.77;-8767.820313;0;0.970033865
550551.8105;7819294;-8767.589844;0;0.722781169
550551.8105;7819275.23;-8767.929688;0;0.515449379
