Object;Region;Property;Min;Max;Mean;Std_dev;P10;P20;P30;P40;P50;P60;P70;P80;P90;
HorizB_Validation;everywhere;GemPy0_029_HorizB_;-26.87878418;33.59067535;-0.266496756;6.24985315;-7.26229434;-5.005542374;-3.308820891;-1.854406655;-0.679195911;0.659523952;2.171477842;4.282793045;7.272236824;0
HorizB_Validation;everywhere;JulienBendingMLS60_000_HorizB_;-9.41691494;8.870339394;-0.798778971;1.676933128;-2.689140558;-2.004405761;-1.571310043;-1.195050454;-0.836002797;-0.548316681;-0.134354815;0.348894545;1.138079333;0
HorizB_Validation;everywhere;JulienBendingMLS_Fine60_000_HorizB_;-6.56799078;26.50733185;9.910679989;3.635244083;5.483644247;7.384660196;8.529544258;9.362701416;10.13585186;10.81483212;11.52784128;12.46464663;13.89805403;0
HorizB_Validation;everywhere;LoopStructural_FDI60_000_HorizB_;-50.1065712;21.45430756;-9.647175956;7.459252521;-18.31340027;-15.18888884;-13.02533064;-11.3697648;-9.868785381;-8.259726715;-6.53147006;-4.422936201;-0.898208857;0
HorizB_Validation;everywhere;LoopStructural_PLI60_000_HorizB_;-34.65100098;19.91368103;-2.505875607;6.060875203;-9.647691536;-7.21498208;-5.47183876;-3.94952085;-2.572482586;-1.219251907;0.393832967;2.137253833;5.014049196;0
HorizB_Validation;everywhere;SIGMA_s1060_000_HorizB_;-18.44038582;14.882267;-0.980180512;2.883495691;-4.354442406;-3.121829247;-2.286256123;-1.621511078;-0.963867545;-0.382908124;0.283354199;1.10488621;2.402293563;0
HorizB_Validation;everywhere;SIGMA_s1260_000_HorizB_;-17.2798214;14.68346214;-0.753744335;2.759444975;-3.936986375;-2.797363138;-2.013596129;-1.351350486;-0.757543921;-0.179669945;0.438013029;1.240746593;2.494926953;0
HorizB_Validation;everywhere;SIGMA_s1360_000_HorizB_;-21.92910385;15.31249714;-1.536761512;3.3963387;-5.511643362;-4.040868902;-3.086640072;-2.2886096;-1.486839652;-0.84231928;-0.028542104;0.93274585;2.425712514;0
HorizB_Validation;everywhere;SLabSolid_60_HorizB_;-13.42234707;10.93867874;-0.266225527;2.226604397;-2.744844794;-1.869418764;-1.239744401;-0.768690693;-0.322059542;0.183361074;0.695258856;1.309776723;2.334004974;0
HorizB_Validation;everywhere;StructuralLab60_000_HorizB_;-16.31707954;11.23174477;-1.032447982;2.719262705;-4.176798439;-3.017023873;-2.308862734;-1.681213808;-1.141171455;-0.529828095;0.128978682;1.023186731;2.168618774;0
HorizB_Validation;everywhere;SurfE_MQ1_Exact141_342_HorizB_;-161.9724731;174.6938782;-0.742304681;9.641242768;-2.503994465;-1.485606527;-0.82977851;-0.313680857;0.093037326;0.473182768;0.886910605;1.405608928;2.208188033;0
HorizB_Validation;everywhere;SurfE_MQ1_Exact_ALL128_816_HorizB_;-204.9957428;153.3925171;-1.340331915;12.65863394;-2.705303049;-1.548445117;-0.891779739;-0.349279299;0.072326973;0.462256208;0.876879507;1.424612391;2.253286815;0
HorizB_Validation;everywhere;SurfE_MQ1_Smooth-157116_291_HorizB_;-113.9408875;95.75128937;-3.663253138;36.11824621;-61.48148575;-37.30456009;-19.8449295;-3.941949892;8.122241497;16.21269226;21.35296154;25.39083614;31.79413261;0
HorizB_Validation;everywhere;SurfE_MQ1_SmootALL-10911_444_HorizB_;-294.4004211;288.2725525;-1.534226396;113.5008221;-155.1420547;-109.6776047;-72.7227066;-38.03544388;0.023004518;34.72922821;70.30795822;106.4600533;149.8821411;0
HorizB_Validation;everywhere;SurfE_R3_Exact-23287_127_HorizB_;-129.7655792;269.7890625;10.27831652;24.60381884;-5.876530457;-3.04450624;-1.189377677;0.769470441;2.77168715;5.208170223;9.154231167;17.13737278;41.93939476;0
HorizB_Validation;everywhere;SurfE_R3_Smooth100-157116_291_HorizB_;-113.9408875;95.75128937;-3.663236085;36.11826211;-61.48148575;-37.30456009;-19.8449295;-3.941949892;8.122241497;16.21269226;21.35296154;25.39083614;31.79413261;0
HorizC_Validation;everywhere;GemPy-0_042_HorizC_;-28;59.27161407;-0.654988516;9.359725894;-10.99372435;-7.532555485;-5.370526314;-3.490210247;-1.523703158;0.578407532;2.773411465;5.544923496;9.776391029;0
HorizC_Validation;everywhere;JulienBendingMLS250_000_HorizC_;-10.69128323;12.87098694;0.94703713;2.158444692;-1.596012044;-0.692818367;-0.098073347;0.383785057;0.837539166;1.305880666;1.868915987;2.541359282;3.541722441;0
HorizC_Validation;everywhere;JulienBendingMLS_Fine250_000_HorizC_;-19.83316612;48.12613297;19.72991518;7.64185036;9.972330093;14.73857021;17.25594635;19.0191721;20.44463634;21.88129044;23.23908501;24.82199268;27.45844517;0
HorizC_Validation;everywhere;LoopStructural_FDI250_000_HorizC_;-35.95224762;69.48685455;5.631660695;13.13912287;-9.378454208;-4.50814333;-1.041328013;1.854387212;4.57865715;7.574110174;10.80634794;14.81195421;22.17352333;0
HorizC_Validation;everywhere;LoopStructural_PLI250_000_HorizC_;-47.75539398;43.04851913;-0.107781449;9.549635937;-10.94542208;-6.354076099;-3.796259189;-1.694703972;0.263591602;2.199466205;4.197894955;6.483616018;10.11397905;0
HorizC_Validation;everywhere;SIGMA_s10250_000_HorizC_;-13.74067783;17.70988846;-0.050895269;3.497035982;-4.351414824;-2.653217149;-1.564457095;-0.729092222;0.020118476;0.799483579;1.579083121;2.488477087;4.070491266;0
HorizC_Validation;everywhere;SIGMA_s12250_000_HorizC_;-14.66922569;17.72019577;-0.154616859;3.391470226;-4.3592731;-2.682508254;-1.628508902;-0.844893646;-0.086142495;0.645863318;1.401914799;2.31081574;3.791087055;0
HorizC_Validation;everywhere;SIGMA_s13250_000_HorizC_;-16.86962318;20.07031441;0.010980292;4.232154599;-5.176230955;-3.113364267;-1.817854309;-0.849395192;0.13256406;1.005284727;1.983733475;3.07882359;4.928169107;0
HorizC_Validation;everywhere;SLabSolid_250_HorizC_;-19.24443245;16.61919022;-0.131921787;2.791280744;-3.531118917;-2.219109273;-1.376067972;-0.640067822;-0.062932435;0.543846583;1.238261175;2.015339327;3.119654965;0
HorizC_Validation;everywhere;StructuralLab250_000_HorizC_;-12.94684982;18.52733612;0.71758368;3.273210718;-3.194368744;-1.743869579;-0.788911152;-0.069548307;0.637232929;1.370047641;2.155291605;3.184142947;4.595503998;0
