Object;Property;Min;Max;Mean;Std_dev;P10;P20;P30;P40;P50;P60;P70;P80;P90
Dips;GemPy_OrientationError (dega);-8.932337760925293;-3.7944447994232178;-5.403195686340332;1.3924693621637194;-6.756865501403809;-6.426817178726196;-6.1291890144348145;-5.497462034225464;-4.953482151031494;-4.6133904457092285;-4.449101448059082;-4.253577470779419;-4.154170513153076
HorizA_Validation;GemPy_OrientationError (dega);-15.342161178588867;-0.29770755767822266;-3.4216689550928803;2.12042688216152;-6.2086223602294925;-4.876852703094482;-4.03158597946167;-3.4162549734115597;-2.9270102977752686;-2.4909576654434207;-2.0662451744079595;-1.6806758522987355;-1.2625020027160645
HorizB_Validation;GemPy_OrientationError (dega);-25.523948669433594;-0.3026230037212372;-4.008649046342095;2.5963130644665195;-7.229076671600342;-5.622651147842407;-4.673311805725098;-3.9562036991119385;-3.4155657291412354;-2.9223836183547975;-2.457399320602417;-2.0073856353759765;-1.4667291879653923
HorizC_Validation;GemPy_OrientationError (dega);-25.022459030151367;-0.37655603885650635;-5.411938761636186;2.9932718646751075;-9.264348793029786;-7.3729277610778805;-6.278045415878296;-5.466000604629516;-4.758418560028076;-4.17805814743042;-3.5679330348968508;-3.0157684803009026;-2.3466130018234255
HorizD_Validation;GemPy_OrientationError (dega);-89.95337677001953;89.9490737915039;3.011675724682416;39.76673625544311;-53.342690658569325;-28.359000587463377;-16.48157444000244;-8.046698284149166;10.585443019866943;15.67237367630005;21.75675182342529;31.455211257934586;53.766885375976614
HorizZ_Forecast;GemPy_OrientationError (dega);-55.84599304199219;-0.9436001181602478;-9.407622253857785;4.97942834695244;-16.562103462219238;-13.129349899291991;-11.142653846740725;-9.5602952003479;-8.242654800415039;-7.119220876693726;-6.157761096954346;-5.248969745635986;-4.183901929855345
Dips;JulienBendingMLS_OrientationError (dega);1.5665825605392456;16.219364166259766;8.796161818504334;3.8285987869717077;2.6672935485839844;6.056276798248291;6.33441686630249;7.599011182785034;9.223220825195312;10.221296310424805;10.85725212097168;12.31166124343872;13.338946342468262
HorizA_Validation;JulienBendingMLS_OrientationError (dega);0.43502968549728394;13.68871021270752;2.710985785540079;1.4972894966825256;1.219668936729431;1.5370150566101075;1.8049866199493407;2.0611565351486205;2.347214460372925;2.690469193458557;3.102993869781493;3.6592720508575445;4.648679828643801
HorizB_Validation;JulienBendingMLS_OrientationError (dega);0.3629162907600403;20.18068504333496;3.021197469435356;1.8719890462220872;1.340065836906433;1.695711326599121;1.9711427688598633;2.2578663587570187;2.559476613998413;2.906351542472839;3.361898612976074;4.024247503280639;5.229326534271246
HorizC_Validation;JulienBendingMLS_OrientationError (dega);0.5603893995285034;16.17034339904785;4.307198969957082;2.0344977169582896;2.0283912420272827;2.5886005878448484;3.030546641349792;3.4913033962249758;3.965741991996765;4.492277956008911;5.091162967681885;5.831315851211548;6.929839372634888
HorizD_Validation;JulienBendingMLS_OrientationError (dega);1.0014206171035767;71.53982543945312;12.986696953671549;7.769145076910062;4.349769067764282;6.421234893798829;8.402256298065186;10.088958263397217;11.76196575164795;13.6729305267334;15.751220321655273;18.415074348449707;22.48468284606934
HorizZ_Forecast;JulienBendingMLS_OrientationError (dega);0.6123014688491821;44.42303466796875;8.227630459733108;4.0149276908738605;3.6735890865325924;4.883238744735718;5.8879471778869625;6.739841175079346;7.62889552116394;8.56959400177002;9.65232744216919;11.108000087738036;13.606249523162845
Dips;JulienBendingMLS_Fine_OrientationError (dega);1.4840141534805298;16.144838333129883;9.381951222419739;3.6552564197941075;3.8236825466156006;6.713212013244629;7.268869876861572;7.948176383972168;10.250515937805176;10.684766292572021;11.385721206665039;12.885635375976562;13.872032165527344
HorizA_Validation;JulienBendingMLS_Fine_OrientationError (dega);0.4606875479221344;14.975564002990723;2.8967928680897455;1.6809348232863626;1.2431921482086181;1.580080580711365;1.8803049564361571;2.1975218534469607;2.498746395111084;2.8706045866012575;3.3227345466613762;3.948126316070557;4.99550018310547
HorizB_Validation;JulienBendingMLS_Fine_OrientationError (dega);0.42642003297805786;21.164306640625;3.2599020035130453;2.054962361328785;1.3782800912857056;1.762266206741333;2.0817582130432126;2.408527970314026;2.7442941665649414;3.1563473701477047;3.6758513927459706;4.3918815612792965;5.704721260070804
HorizC_Validation;JulienBendingMLS_Fine_OrientationError (dega);0.5641379356384277;24.906021118164062;4.779976219025787;2.466065384267991;2.163137674331665;2.7561233758926393;3.2670867681503295;3.786635327339172;4.3110551834106445;4.872756624221802;5.596063613891602;6.538244009017945;8.001432704925538
