Object;Property;Min;Max;Mean;Std_dev;P10;P20;P30;P40;P50;P60;P70;P80;P90
HorizA_Validation;GemPy_error_m (m);-25.2517147064209;28.948564529418945;0.31396347773942096;5.697300413347361;-6.544698333740234;-3.905419707298279;-2.239287185668945;-0.8021634280681602;0.46696093678474426;1.6458380818366996;2.972329378128051;4.665366363525395;6.8261061668396
HorizB_Validation;GemPy_error_m (m);-32.016883850097656;27.452165603637695;0.24736765847230202;6.249015192088653;-7.274052143096922;-4.254050397872925;-2.2082460165023807;-0.6686902344226834;0.6588040590286255;1.842433476448059;3.33699927330017;5.019041156768799;7.203238534927371
HorizC_Validation;GemPy_error_m (m);-64.27154541015625;27.197206497192383;0.5292439687180741;9.49282811689594;-10.06169834136963;-5.737588882446289;-2.8854338407516478;-0.6993497729301437;1.4305193424224854;3.471470355987549;5.330280256271362;7.463450479507446;10.93867864608765
HorizD_Validation;GemPy_error_m (m);-469.2471923828125;161.03236389160156;-0.7550605350514447;42.06993242847818;-41.80703430175781;-27.73858470916748;-18.198701477050783;-8.96480674743652;0.640507698059082;10.689445781707763;21.58874816894531;32.788476181030276;45.91406478881837
HorizA_Validation;SurfE_R3_Smooth100_error_m (m);-123.27454376220703;50.80967712402344;-0.05456117998240937;21.883981904882734;-24.278078079223633;-14.389992523193357;-7.510772800445562;-0.7077534496784201;4.210751056671143;7.35270218849182;11.207316017150877;15.63359537124634;22.114658355712898
HorizB_Validation;SurfE_R3_Smooth100_error_m (m);-96.8462142944336;113.8299560546875;3.5094223090394596;36.12838176751083;-31.892507171630857;-25.495754051208497;-21.459362983703617;-16.36789817810058;-8.373272895812988;3.7581218719482417;19.683122825622526;37.15437812805178;61.45374069213871
HorizC_Validation;SurfE_R3_Smooth100_error_m (m);-120.90474700927734;213.66712951660156;-2.5886016959981872;69.61402374651477;-85.79452514648436;-71.09117050170899;-49.06234855651855;-29.388491249084456;-10.953886032104492;8.450577735900879;28.142928314208987;53.343686294555695;95.58111648559579
HorizD_Validation;SurfE_R3_Smooth100_error_m (m);-1551.0030517578125;1231.44482421875;-23.457751882026916;330.5598864590162;-415.86212768554685;-276.03396301269527;-181.36007385253905;-99.86265106201171;-22.116714477539062;43.61906585693359;109.75853118896484;199.58004150390633;411.0066894531252
HorizA_Validation;SurfE_R3_Exact_error_m (m);-162.017333984375;17.806480407714844;-3.854882249702603;11.556063419600193;-14.924613761901854;-8.441567134857177;-5.987348842620849;-3.994563603401184;-2.001565456390381;0.22267449796199618;2.123825502395629;3.798236083984375;6.305094718933107
HorizB_Validation;SurfE_R3_Exact_error_m (m);-103.75202178955078;31.08192253112793;-6.671136696792495;13.706260903585259;-25.291559982299805;-13.776344108581537;-7.894160890579223;-4.940904951095581;-2.68047297000885;-0.7047170221805588;1.153745126724243;2.7815045118331927;5.3765039443969735
