Representation;Value;GemPy;JulienBendingMLS;JulienBendingMLSFine;StructuralLab;SurfE_MQ1_Exact;SurfE_MQ1_Smooth;SurfE_R3_Exact;SurfE_R3_Smooth;LoopStructuralFDI;LoopStructuralPLI;SIGMAs10;SIGMAs12;SIGMAs13
Cartesian;Minimum:;-0.0951187;-143.478;-143.714;-149.741;137.004;-158107;-23326.8;-158107;-157.46;-153.272;-129.719;-130.337;-129.802
Cartesian;10th percentile:;-0.0766722;-59.0941;-58.3415;-60.5553;138.616;-157957;-23287.5;-157957;-67.7356;-63.1153;-40.1034;-39.9313;-40.3052
Cartesian;25th percentile:;-0.0708008;38.6778;41.5481;41.636;138.814;-157870;-23286.6;-157870;44.2445;41.7478;62.396;62.3022;62.5787
Cartesian;Median:;-0.0423851;254.45;259.622;259.297;139.732;-157624;-23276.9;-157624;254.238;260.939;272.309;272.313;272.204
Cartesian;75th percentile:;0.0361841;330.656;330.976;331.808;141.509;-157066;-23266.2;-157066;336.106;333.874;332.985;333.075;332.928
Cartesian;90th percentile:;0.0725564;335.566;336.053;339.683;142.34;-156717;-23263.9;-156717;363.889;354.284;342.013;342.702;341.77
Cartesian;Maximum:;0.0988054;377.615;378.478;408.816;144.024;-156347;-23227.4;-156347;503.415;434.931;410.321;399.939;416.419
Cartesian;Mean:;-0.0185255;187.107;189.385;189.742;140.138;-157461;-23276.3;-157461;193.771;192.335;201.222;201.161;201.316
Cartesian;Std. deviation:;0.0578626;157.342;157.387;159.313;1.45681;473.536;10.0217;473.536;166.375;162.401;151.716;151.526;151.933
tetrahedral;;;;;;;;;;;;;;
