Object;Region;Property;Min;Max;Mean;Std_dev;P10;P20;P30;P40;P50;P60;P70;P80;P90
Solid100_30;everywhere;result_FDI (unitless);-157.37725830078125;503.4147033691406;193.66686650955174;168.19017883462834;-71.56398239135741;4.1223097324371345;85.97973327636716;177.18567962646486;255.17972564697266;304.32630310058596;328.5782958984375;345.47200317382817;365.9493774414062
Solid100_30;everywhere;result_PLI (unitless);-153.24432373046875;434.929931640625;192.00277434729816;163.98988404617612;-67.0710693359375;4.2525130271911635;83.4131507873535;178.792431640625;261.20616149902344;309.0516418457031;328.5502044677734;340.6462158203125;355.2277435302734
Solid100_30;everywhere;SurfE_R3_Smooth100 (unitless);-158105.59375;-156347.125;-157458.85958589247;477.49056504770687;-157957.1765625;-157901.7671875;-157848.22343749998;-157772.0859375;-157627.28125;-157407.3921875;-157177.2578125;-156941.3828125;-156704.015625
Solid100_30;everywhere;SurfE_R3_Smooth100 (unitless);-158105.59375;-156347.125;-157458.85958589247;477.49056504770687;-157957.1765625;-157901.7671875;-157848.22343749998;-157772.0859375;-157627.28125;-157407.3921875;-157177.2578125;-156941.3828125;-156704.015625
Solid100_30;everywhere;SurfE_R3_Exact (unitless);-23321.12109375;-23230.75390625;-23276.341492285443;9.918095366657468;-23287.521484375;-23287.0390625;-23285.62890625;-23282.213671875;-23276.810546875;-23271.10078125;-23267.52734375;-23265.2869140625;-23263.96875
Solid100_30;everywhere;SurfE_R3_Exact (unitless);-23321.12109375;-23230.75390625;-23276.341492285443;9.918095366657468;-23287.521484375;-23287.0390625;-23285.62890625;-23282.213671875;-23276.810546875;-23271.10078125;-23267.52734375;-23265.2869140625;-23263.96875
Solid100_30;everywhere;SurfE_MQ1_Smooth (unitless);-158105.59375;-156347.125;-157458.8595874722;477.49056588535353;-157957.1765625;-157901.7671875;-157848.22343749998;-157772.0859375;-157627.28125;-157407.3921875;-157177.2578125;-156941.3828125;-156704.015625
Solid100_30;everywhere;SurfE_MQ1_Smooth (unitless);-158105.59375;-156347.125;-157458.8595874722;477.49056588535353;-157957.1765625;-157901.7671875;-157848.22343749998;-157772.0859375;-157627.28125;-157407.3921875;-157177.2578125;-156941.3828125;-156704.015625
Solid100_30;everywhere;SurfE_MQ1_Exact (unitless);137.5815887451172;143.00283813476562;140.1375211654569;1.4698024817887259;138.6055923461914;138.75909271240235;138.84717254638673;139.09268951416016;139.71240997314453;140.45941467285155;141.20616149902344;141.80787048339843;142.3641555786133
Solid100_30;everywhere;SurfE_MQ1_Exact (unitless);137.5815887451172;143.00283813476562;140.1375211654569;1.4698024817887259;138.6055923461914;138.75909271240235;138.84717254638673;139.09268951416016;139.71240997314453;140.45941467285155;141.20616149902344;141.80787048339843;142.3641555786133
Solid100_30;everywhere;StructuralLab (unitless);-149.7585906982422;408.815673828125;189.47062972493057;160.94224384741514;-64.6137565612793;4.292521238327029;80.77315826416012;176.9716781616211;261.4873046875;312.41786804199216;329.34336853027344;334.51893615722656;340.1934112548828
Solid100_30;everywhere;StructuralLab (unitless);-149.7585906982422;408.815673828125;189.47062972493057;160.94224384741514;-64.6137565612793;4.292521238327029;80.77315826416012;176.9716781616211;261.4873046875;312.41786804199216;329.34336853027344;334.51893615722656;340.1934112548828
Solid100_30;everywhere;SIGMA_s13 (unitless);-129.49159240722656;416.41693115234375;190.9534676644513;159.75052120520343;-65.68565216064452;4.1106417179107675;82.32823028564454;177.71942596435548;261.10223388671875;311.6665802001953;329.57129821777346;335.39031677246095;341.993994140625
Solid100_30;everywhere;SIGMA_s13 (unitless);-129.49159240722656;416.41693115234375;190.9534676644513;159.75052120520343;-65.68565216064452;4.1106417179107675;82.32823028564454;177.71942596435548;261.10223388671875;311.6665802001953;329.57129821777346;335.39031677246095;341.993994140625
Solid100_30;everywhere;SIGMA_s12 (unitless);-129.93585205078125;399.925537109375;190.77169057152568;159.27869536935975;-65.35601806640625;4.3357708930969245;81.8240783691406;177.43272705078124;261.6755065917969;311.38902587890624;329.08924865722656;336.17286987304686;342.7942413330078
Solid100_30;everywhere;SIGMA_s12 (unitless);-129.93585205078125;399.925537109375;190.77169057152568;159.27869536935975;-65.35601806640625;4.3357708930969245;81.8240783691406;177.43272705078124;261.6755065917969;311.38902587890624;329.08924865722656;336.17286987304686;342.7942413330078
Solid100_30;everywhere;SIGMA_s10 (unitless);-129.4575958251953;410.3167724609375;190.86062535616762;159.50354552145842;-65.41472396850585;4.230084609985354;82.09221343994142;177.6974639892578;261.434814453125;311.60560607910156;329.4448944091797;335.6075256347656;342.08473510742186
Solid100_30;everywhere;SIGMA_s10 (unitless);-129.4575958251953;410.3167724609375;190.86062535616762;159.50354552145842;-65.41472396850585;4.230084609985354;82.09221343994142;177.6974639892578;261.434814453125;311.60560607910156;329.4448944091797;335.6075256347656;342.08473510742186
Solid100_30;everywhere;JulienBendingMLS_Fine (unitless);-143.46530151367188;377.6122741699219;186.64647277603163;158.64088644927438;-62.808380126953125;2.4468651771545415;77.98846893310545;172.0139633178711;255.8174057006836;308.1041259765625;328.6787475585937;332.10277099609374;335.8095672607422
Solid100_30;everywhere;JulienBendingMLS_Fine (unitless);-143.46530151367188;377.6122741699219;186.64647277603163;158.64088644927438;-62.808380126953125;2.4468651771545415;77.98846893310545;172.0139633178711;255.8174057006836;308.1041259765625;328.6787475585937;332.10277099609374;335.8095672607422
Solid100_30;everywhere;JulienBendingMLS (unitless);-143.69451904296875;378.4737243652344;188.89152617307974;158.70120219262435;-62.10353546142578;4.457917642593386;81.74685516357421;177.80848846435546;260.7723693847656;311.2838897705078;329.4190673828125;332.4377899169922;336.2243347167969
