X;Y;Z;Strati;Cutoff
550551.8105;7821827.949;-9166.320313;60;0.301589098
550551.8105;7821809.18;-9167.900391;60;0.665933437
550551.8105;7821790.41;-9167.740234;60;0.363508501
550551.8105;7821771.641;-9166.669922;60;0.52225081
550551.8105;7821752.867;-9165.599609;60;0.595620574
550551.8105;7821734.102;-9163.55957;60;0.896879018
550551.8105;7821715.328;-9163.55957;60;0.207137042
550551.8105;7821696.559;-9163.490234;60;0.213576263
550551.8105;7821677.789;-9160.950195;60;0.211938204
550551.8105;7821659.02;-9160.080078;60;0.365797102
550551.8105;7821640.25;-9159.69043;60;0.9100629
550551.8105;7821621.48;-9158.480469;60;0.285198159
550551.8105;7821602.711;-9156;60;0.008924501
550551.8105;7821583.941;-9150.959961;60;0.249386835
550551.8105;7821565.168;-9150.959961;60;0.225731013
550551.8105;7821546.398;-9152.679688;60;0.913804921
550551.8105;7821527.629;-9153.709961;60;0.147491268
550551.8105;7821508.859;-9154.120117;60;0.333957265
550551.8105;7821490.09;-9152.959961;60;0.612239277
550551.8105;7821471.32;-9149.860352;60;0.069274727
550551.8105;7821452.551;-9146.519531;60;0.271681911
550551.8105;7821433.781;-9141.389648;60;0.120065708
550551.8105;7821415.008;-9136.509766;60;0.953597012
550551.8105;7821396.238;-9134.379883;60;0.318978462
550551.8105;7821377.469;-9133.990234;60;0.297539068
550551.8105;7821358.699;-9135.160156;60;0.572854962
550551.8105;7821339.93;-9136.19043;60;0.002008041
550551.8105;7821321.16;-9135.419922;60;0.461736805
550551.8105;7821302.391;-9134.709961;60;0.515660128
550551.8105;7821283.617;-9134.429688;60;0.329572464
550551.8105;7821264.848;-9131.400391;60;0.134609813
550551.8105;7821246.078;-9127.44043;60;0.040863995
550551.8105;7821227.309;-9124.089844;60;0.853740344
550551.8105;7821208.539;-9120.719727;60;0.956021821
550551.8105;7821189.77;-9118.019531;60;0.618042286
550551.8105;7821171;-9115.700195;60;0.615789459
550551.8105;7821152.23;-9113.549805;60;0.778633093
550551.8105;7821133.457;-9110.959961;60;0.678033084
550551.8105;7821114.691;-9107.839844;60;0.181343196
550551.8105;7821095.918;-9104.030273;60;0.3958728
550551.8105;7821077.148;-9101.610352;60;0.584777368
550551.8105;7821058.379;-9100;60;0.543309803
550551.8105;7821039.609;-9097.669922;60;0.456921007
550551.8105;7821020.84;-9093.549805;60;0.78187381
550551.8105;7821002.07;-9090.450195;60;0.428637805
550551.8105;7820983.297;-9085.929688;60;0.38042235
550551.8105;7820964.531;-9082.44043;60;0.361339129
550551.8105;7820945.758;-9077.049805;60;0.592801742
550551.8105;7820926.988;-9074.209961;60;0.612312555
550551.8105;7820908.219;-9071.900391;60;0.584154749
550551.8105;7820889.449;-9069.980469;60;0.926137095
550551.8105;7820870.68;-9066.419922;60;0.611612093
550551.8105;7820851.91;-9062.740234;60;0.480718266
550551.8105;7820833.141;-9056.980469;60;0.785140838
550551.8105;7820814.371;-9052.469727;60;0.768929332
550551.8105;7820795.598;-9048.19043;60;0.176701069
550551.8105;7820776.828;-9043.669922;60;0.1862334
550551.8105;7820758.059;-9037.389648;60;0.023760102
550551.8105;7820739.289;-9033.5;60;0.966078702
550551.8105;7820720.52;-9027.419922;60;0.255475992
550551.8105;7820701.75;-9023.419922;60;0.347840003
550551.8105;7820682.98;-9015.070313;60;0.212957579
550551.8105;7820664.211;-9010.44043;60;0.418713838
550551.8105;7820645.438;-9005.44043;60;0.400584348
550551.8105;7820626.668;-9001.25;60;0.716307294
550551.8105;7820607.898;-8996.030273;60;0.229760508
550551.8105;7820589.129;-8991.209961;60;0.319456154
550551.8105;7820570.359;-8987.80957;60;0.077819308
550551.8105;7820551.59;-8985.620117;60;0.789705843
550551.8105;7820532.82;-8982.669922;60;0.077157941
550551.8105;7820514.051;-8984.160156;60;0.142114259
550551.8105;7820495.281;-8987.30957;60;0.765839116
550551.8105;7820476.508;-8989.820313;60;0.640053382
550551.8105;7820457.738;-8988.669922;60;0.029333521
550551.8105;7820438.969;-8981.580078;60;0.838261565
550551.8105;7820420.199;-8975.339844;60;0.495248973
550551.8105;7820401.43;-8968.589844;60;0.224940401
550551.8105;7820382.66;-8963.450195;60;0.036683209
550551.8105;7820363.887;-8959.339844;60;0.230494989
550551.8105;7820345.121;-8955;60;0.525932316
550551.8105;7820326.348;-8953.339844;60;0.654799816
550551.8105;7820307.578;-8952.860352;60;0.422016738
550551.8105;7820288.809;-8948.990234;60;0.026974479
550551.8105;7820270.039;-8942.780273;60;0.455249031
550551.8105;7820251.27;-8939.620117;60;0.846170352
550551.8105;7820232.5;-8928.259766;60;0.865148373
550551.8105;7820213.73;-8924.919922;60;0.867829282
550551.8105;7820194.961;-8924.780273;60;0.17220737
550551.8105;7820176.188;-8925.169922;60;0.30207434
550551.8105;7820157.418;-8926.759766;60;0.910020274
550551.8105;7820138.648;-8930.219727;60;0.607792169
550551.8105;7820119.879;-8935.509766;60;0.015628222
550551.8105;7820101.109;-8939.290039;60;0.012115084
550551.8105;7820082.34;-8943.459961;60;0.115207685
550551.8105;7820063.57;-8948.019531;60;0.698427096
550551.8105;7820044.801;-8951.5;60;0.984581561
550551.8105;7820026.027;-8955.150391;60;0.706038192
550551.8105;7820007.258;-8956.660156;60;0.833694424
550551.8105;7819988.488;-8956.959961;60;0.591078213
550551.8105;7819969.719;-8957.480469;60;0.982474928
550551.8105;7819950.949;-8960.589844;60;0.655901077
550551.8105;7819932.18;-8965.5;60;0.451605046
550551.8105;7819913.41;-8970.629883;60;0.203339038
550551.8105;7819894.641;-8973.269531;60;0.431464106
550551.8105;7819875.867;-8976.269531;60;0.038512937
550551.8105;7819857.098;-8979.919922;60;0.635211776
550551.8105;7819838.328;-8983.929688;60;0.933408619
550551.8105;7819819.559;-8987.30957;60;0.002858554
550551.8105;7819800.789;-8992.150391;60;0.125105739
550551.8105;7819782.02;-8996.400391;60;0.749305904
550551.8105;7819763.25;-8998.839844;60;0.282454776
550551.8105;7819744.48;-9000.790039;60;0.485875212
550551.8105;7819725.711;-8997.799805;60;0.536347565
550551.8105;7819706.938;-8993.69043;60;0.896058223
550551.8105;7819688.168;-8994.200195;60;0.011986476
550551.8105;7819669.398;-8995.009766;60;0.473131197
550551.8105;7819650.629;-8992.570313;60;0.774167608
550551.8105;7819631.859;-8990.299805;60;0.679477539
550551.8105;7819613.09;-8988.919922;60;0.385745632
550551.8105;7819594.32;-8985.879883;60;0.086126821
550551.8105;7819575.551;-8985.919922;60;0.265782813
550551.8105;7819556.777;-8984.519531;60;0.858664103
550551.8105;7819538.008;-8979.519531;60;0.761327229
550551.8105;7819519.238;-8971.099609;60;0.005934027
550551.8105;7819500.469;-8968.69043;60;0.34646904
550551.8105;7819481.699;-8963.679688;60;0.706779508
550551.8105;7819462.93;-8957.209961;60;0.34244239
550551.8105;7819444.16;-8956.160156;60;0.330211032
550551.8105;7819425.391;-8957.870117;60;0.51213603
