X;Y;Z;Strati;Cutoff
550551.8105;7821865.488;-10530.40039;330;0.061696527
550551.8105;7821846.719;-10533.09961;330;0.670369003
550551.8105;7821827.949;-10535.79981;330;0.512454348
550551.8105;7821809.18;-10538.40039;330;0.355279697
550551.8105;7821790.41;-10541.09961;330;0.491780384
550551.8105;7821771.641;-10543.79981;330;0.660885375
550551.8105;7821752.867;-10546.40039;330;0.707069591
550551.8105;7821734.102;-10549.09961;330;0.499011133
550551.8105;7821715.328;-10551.79981;330;0.576244193
550551.8105;7821696.559;-10554.40039;330;0.93714365
550551.8105;7821677.789;-10554.40039;330;0.199438464
550551.8105;7821659.02;-10554.40039;330;0.08938946
550551.8105;7821640.25;-10554.40039;330;0.391052465
550551.8105;7821621.48;-10558.40039;330;0.34944631
550551.8105;7821602.711;-10562.40039;330;0.553528134
550551.8105;7821583.941;-10566.40039;330;0.320700878
550551.8105;7821565.168;-10564.79981;330;0.137888177
550551.8105;7821546.398;-10566.90039;330;0.35023369
550551.8105;7821527.629;-10568;330;0.233148413
550551.8105;7821508.859;-10571;330;0.474903287
550551.8105;7821490.09;-10577.09961;330;0.828608621
550551.8105;7821471.32;-10579.79981;330;0.654935711
550551.8105;7821452.551;-10579.40039;330;0.752186341
550551.8105;7821433.781;-10577.2002;330;0.745058026
550551.8105;7821415.008;-10574.5;330;0.246728185
550551.8105;7821396.238;-10571.09961;330;0.999864535
550551.8105;7821377.469;-10566.7002;330;0.910161573
550551.8105;7821358.699;-10563.40039;330;0.268836508
550551.8105;7821339.93;-10559.40039;330;0.799462639
550551.8105;7821321.16;-10557.09961;330;0.644637469
550551.8105;7821302.391;-10553.29981;330;0.434586651
550551.8105;7821283.617;-10543.7002;330;0.74970714
550551.8105;7821264.848;-10537.5;330;0.139272574
550551.8105;7821246.078;-10532;330;0.001428498
550551.8105;7821227.309;-10522.90039;330;0.95652259
550551.8105;7821208.539;-10511.7002;330;0.745714653
550551.8105;7821189.77;-10499.7002;330;0.880042602
550551.8105;7821171;-10485.90039;330;0.185602506
550551.8105;7821152.23;-10453.90039;330;0.582067136
550551.8105;7821133.457;-10421.90039;330;0.865218349
550551.8105;7821114.691;-10389.90039;330;0.854823139
550551.8105;7821095.918;-10361.40039;330;0.475293655
550551.8105;7821077.148;-10350.7002;330;0.4107498
550551.8105;7821058.379;-10337.09961;330;0.536664488
550551.8105;7821039.609;-10314.2002;330;0.327446718
550551.8105;7821020.84;-10300.40039;330;0.206771916
550551.8105;7821002.07;-10275.7002;330;0.084465277
550551.8105;7820983.297;-10245.7002;330;0.395855113
550551.8105;7820964.531;-10215.7002;330;0.999805557
550551.8105;7820945.758;-10191.7002;330;0.423928185
550551.8105;7820926.988;-10167.7002;330;0.282984713
550551.8105;7820908.219;-10143.7002;330;0.833972659
550551.8105;7820889.449;-10071.7002;330;0.825564261
550551.8105;7820870.68;-10035.7002;330;0.148906834
550551.8105;7820851.91;-9999.660156;330;0.165484546
550551.8105;7820833.141;-9963.660156;330;0.476766948
550551.8105;7820814.371;-9927.660156;330;0.641119087
550551.8105;7820795.598;-9891.660156;330;0.673364718
550551.8105;7820776.828;-9819.660156;330;0.419627835
550551.8105;7820758.059;-9807.660156;330;0.947976297
550551.8105;7820739.289;-9795.660156;330;0.005204783
550551.8105;7820720.52;-9782.519531;330;0.58897154
550551.8105;7820701.75;-9768.379883;330;0.390236342
550551.8105;7820682.98;-9748.169922;330;0.376886398
550551.8105;7820664.211;-9737.719727;330;0.887631053
550551.8105;7820645.438;-9727.719727;330;0.834889099
550551.8105;7820626.668;-9707.709961;330;0.028024922
550551.8105;7820607.898;-9694.120117;330;0.730316655
550551.8105;7820589.129;-9689.040039;330;0.588110351
550551.8105;7820570.359;-9686.799805;330;0.537080143
550551.8105;7820551.59;-9686.110352;330;0.677824358
550551.8105;7820532.82;-9687.360352;330;0.057799287
550551.8105;7820514.051;-9686.969727;330;0.026399894
550551.8105;7820495.281;-9692.599609;330;0.686575467
550551.8105;7820476.508;-9697.660156;330;0.705815202
550551.8105;7820457.738;-9692.349609;330;0.001355312
550551.8105;7820438.969;-9687.55957;330;0.724033377
550551.8105;7820420.199;-9682.139648;330;0.224630995
550551.8105;7820401.43;-9676.070313;330;0.822823913
550551.8105;7820382.66;-9657.759766;330;0.183597114
550551.8105;7820363.887;-9649.650391;330;0.29322625
550551.8105;7820345.121;-9643.75;330;0.357194794
550551.8105;7820326.348;-9628.339844;330;0.980944089
550551.8105;7820307.578;-9587.530273;330;0.356438424
550551.8105;7820288.809;-9583.790039;330;0.997593886
550551.8105;7820270.039;-9582.889648;330;0.808890139
550551.8105;7820251.27;-9583.719727;330;0.58904114
550551.8105;7820232.5;-9585.929688;330;0.806134429
550551.8105;7820213.73;-9590.599609;330;0.777234337
550551.8105;7820194.961;-9596.80957;330;0.326423129
550551.8105;7820176.188;-9607.179688;330;0.284277302
550551.8105;7820157.418;-9655.179688;330;0.998744946
550551.8105;7820138.648;-9663.179688;330;0.538061856
550551.8105;7820119.879;-9671.179688;330;0.463773233
550551.8105;7820101.109;-9679.179688;330;0.40760817
550551.8105;7820082.34;-9693.540039;330;0.140477302
