Object;Property;Min;Max;Mean;Std_dev;P10;P20;P30;P40;P50;P60;P70;P80;P90
SparseH1Surf;GemPy_error_m (m);-82555.359375;15835.033203125;-4811.364189432223;16239.078037136282;-11904.558984375;-4592.570385742186;-0.08755237981677053;0.005593536188825967;0.015432233922183514;0.028882355056703102;0.06282129250466821;146.08818817138766;959.629132080078
SparseH2Surf;GemPy_error_m (m);-40316.09375;83615.90625;2813.445781412975;15391.863330719336;-361.124267578125;-0.016159353777766228;0.0018814087379723787;0.009094462729990482;0.013123498298227787;0.01884644664824009;0.02506062015891075;164.3032684326172;6643.580078125
SparseH4Surf;GemPy_error_m (m);-185.3068084716797;457.3197937011719;26.10633716034278;134.56326084805426;-127.52953186035155;-41.45470752716063;-12.403563412837695;-0.00573292658664286;-0.001971467165276408;-0.0001966076088137954;15.558345133624917;85.58531646728518;186.0047912597656
SparseH5Surf;GemPy_error_m (m);-1.8121535778045654;1.9199179410934448;0.28909334666483727;0.7911728101519205;-0.09541173260658978;-0.010338258184492587;-0.006600379757583141;0.0010338620690163226;0.006939798593521118;0.06401277631521222;0.332822811603546;1.1827062845230103;1.3775187015533452
SparseH5TestSurf;GemPy_error_m (m);-7.169145107269287;8.81305980682373;0.017962685933238583;3.6563388787921323;-5.488595581054687;-1.3616475373506542;-0.33170053958892826;-0.20932006165385242;0.09258448332548141;0.21871232911944394;0.3048856914043426;1.5709336429834386;4.74394760131836
SparseH4TestSurf;GemPy_error_m (m);-6.810455799102783;19.151439666748047;0.5154172582186612;4.123916113962179;-1.5798615574836723;-0.417454907298088;-0.2697659969329835;-0.1700173527002334;-0.06063827499747276;0.042974280938506054;0.13065838813781716;0.4240001440048218;1.1508111596107464
SparseH3TestSurf;GemPy_error_m (m);-406717.4375;1694165.5;15987.623617650517;148257.20877739525;-4835.65634765625;-0.20361663550138473;-0.07701004445552825;-0.03683542944490908;-0.004331778014602605;0.07486924231052387;0.6643826246261594;2336.977307128908;31200.129492187516
SparseH6TestSurf;GemPy_error_m (m);-140428.796875;239799.953125;1533.2057930487424;34728.24019367203;-4.902135848999023;-0.26823434233665466;-0.20218013226985931;-0.10737700387835503;0.018997451290488243;0.13160894066095352;0.1723358929157257;0.3454083949327469;4.0953497886657715
SparseH7Surf;GemPy_error_m (m);-15164.9248046875;1.219853162765503;-160.26395384576605;1360.8468720603394;-0.061045186035335014;-0.011607645358890294;-0.007837407151237132;-0.004294111020863056;-0.0022642575204372406;0.000050780640231095486;0.0035240065772086356;0.011645341664552694;0.036720164865255374
SparseH8TestSurf;GemPy_error_m (m);-3.9585556983947754;4.684317588806152;-0.008862616127160317;1.1254033255988483;-0.2975351214408874;-0.14949039369821546;-0.07223248928785325;-0.016012450400739873;0.01753113977611065;0.10984604433178902;0.12003842890262603;0.12664597183465956;0.14424128830432892
SparseH9Surf;GemPy_error_m (m);-4.001602649688721;3.632110834121704;-0.02102281791367568;0.7616239234886046;-0.08199416846036911;-0.037208717316389084;-0.020760640501976013;-0.013334158807992935;-0.0052297282963991165;-0.0004270105418981984;0.0052574495784938335;0.01576143503189087;0.0446668304502964
SparseH1Surf;LoopStructuralFDI_error_m (m);-153691.265625;167845.125;-1677.4041049180232;47525.85986809645;-37004.1189453125;-3448.9957763671873;-0.12887787893414498;-0.07724698632955551;-0.04782042279839516;0.01626298725605014;0.23221020549535748;2217.9584228515632;8866.40556640625
SparseH2Surf;LoopStructuralFDI_error_m (m);-352363.25;116172.015625;-8765.120848968472;57387.907804018236;-26738.724609375;-277.8015556409955;-0.09725780785083771;-0.03641482628881931;-0.024213172495365143;0.018553548958152533;0.18770703673362732;292.71927116811275;7603.0302734375
SparseH4Surf;LoopStructuralFDI_error_m (m);-1331.964599609375;761.924560546875;-63.039703544112854;496.7323814751559;-768.1360107421874;-229.2955787658691;-30.79489364624024;-0.011327156145125626;0.0015560123138129711;0.011735482700169084;0.024717104062437985;257.1486648559572;485.41909179687497
