Object;Property;Min;Max;Mean;Std_dev;P10;P20;P30;P40;P50;P60;P70;P80;P90
SparseH1;LoopStructuralFDI_error_m (m);-0.09120623022317886;0.4500817060470581;0.09908767076293853;0.12077357482445841;0.002595201600343008;0.028148572333157065;0.036530784144997594;0.04623926058411599;0.06855155155062675;0.0791386730968952;0.1122815243899822;0.16211551576852806;0.29679013490676887
SparseH2;LoopStructuralFDI_error_m (m);-0.26471614837646484;0.2147492617368698;-0.023804074658238025;0.10662460676717905;-0.16362445652484894;-0.10237724035978316;-0.05666835233569145;-0.04649338573217392;-0.043113209307193756;-0.03502427563071251;0.011004190333187558;0.049300238117575654;0.15567473769187928
SparseH4;LoopStructuralFDI_error_m (m);-0.04260426014661789;0.0040427884086966515;-0.020364104165558027;0.012976779149366022;-0.03809403516352177;-0.03127173613756895;-0.026986627653241158;-0.02445120122283697;-0.022702914662659168;-0.01879341434687376;-0.010883227642625571;-0.006822527945041653;-0.0023639413033379212
SparseH5;LoopStructuralFDI_error_m (m);-0.06387533992528915;0.0537891760468483;0.005264829946454705;0.03846084600938841;-0.04829261377453804;-0.0412869431078434;-0.02585657648742199;-0.006539829680696119;0.02276575192809105;0.03246226124465466;0.03634791597723961;0.04121884778141975;0.04916243031620979
SparseH7;LoopStructuralFDI_error_m (m);-0.11597900837659836;0.5211547613143921;0.04723786185704841;0.11322830792194129;-0.048916117846965784;-0.027848439291119572;0.003496726322919127;0.02410353180021048;0.031647056341171265;0.03756680004298687;0.053830745816230756;0.0807240292429924;0.14470576941967012
SparseH9;LoopStructuralFDI_error_m (m);-0.48526090383529663;0.03552844002842903;-0.11013961774157603;0.14355641585059145;-0.3615780085325241;-0.3160564363002776;-0.07777145132422449;-0.06578349843621253;-0.056191228330135345;-0.040874596685171155;-0.028115757554769517;-0.009314041398465622;0.009166634548455484
SparseH1;LoopStructuralPLI_error_m (m);-0.1082991287112236;0.3113018870353699;0.05792363196484406;0.08299089299118051;-0.016027966141700725;0.007653222396038481;0.028720282204449173;0.04013813138008118;0.04321349784731865;0.05703820325434207;0.0711150012910366;0.10409848392009736;0.16073431819677358
SparseH2;LoopStructuralPLI_error_m (m);-0.1552661806344986;0.23201210796833038;-0.0061003710549143815;0.0730970808373469;-0.09082450717687607;-0.06052704825997352;-0.04019393250346184;-0.026732148230075838;-0.021173793822526932;-0.014578330982476472;0.0040926569141447305;0.06787166260182866;0.09407601952552797
SparseH4;LoopStructuralPLI_error_m (m);-0.0496317520737648;0.010802612639963627;-0.013459425534661435;0.01703243338561107;-0.038434166461229324;-0.028532144054770472;-0.023243657685816287;-0.01990717388689518;-0.01361803151667118;-0.004414148395881062;0.0008026820665691043;0.004699906473979356;0.007036426011472942
SparseH5;LoopStructuralPLI_error_m (m);-0.048421718180179596;0.04298676177859306;0.00018353518325744605;0.023985482071078885;-0.03358567953109741;-0.03052547387778759;-0.008097885921597488;-0.002417408698238431;0.0028712733183056116;0.012116333656013013;0.017256702855229376;0.020015609450638294;0.02602811641991138
SparseH7;LoopStructuralPLI_error_m (m);-0.15450137853622437;0.23221662640571594;0.01739827290522667;0.05413549857150792;-0.02472892887890339;-0.013988143112510442;-0.002696472173556686;0.013316351734101773;0.017937390133738518;0.0227620555087924;0.027053338661789893;0.04025053046643735;0.06258706748485567
SparseH9;LoopStructuralPLI_error_m (m);-0.264359712600708;0.10631729662418365;-0.04127521707535683;0.06759668483649998;-0.15702003240585327;-0.06329783760011194;-0.036894964426755904;-0.029583112709224223;-0.022298702970147133;-0.014722487796097994;-0.009224659670144337;-0.0031645129900425674;0.005146811762824663
SparseH1;MSSSparse_81x5x22_error_m (m);-0.010172832757234573;0.035366643220186234;-0.0009482261048932825;0.007308323316666366;-0.008917434327304364;-0.004827743535861373;-0.003954275441356004;-0.003131436696276068;-0.0016913082799874246;-0.0007623779878485955;0.00031738210527691973;0.0025962982093915357;0.0047193088103085765
SparseH2;MSSSparse_81x5x22_error_m (m);-0.02285032719373703;0.02045501582324505;-0.0064514699123423905;0.010890919429085275;-0.019467324018478394;-0.0167135588824749;-0.014229366555809975;-0.01145069170743227;-0.009261570870876312;-0.002865252224728465;-0.0017184814205393204;0.0010362664965214289;0.01083802562206984
SparseH4;MSSSparse_81x5x22_error_m (m);-0.022453896701335907;0.022594179958105087;0.008902649977327119;0.012088327877047531;-0.016468246094882486;0.005953161744400859;0.00839284835383296;0.01077799340710044;0.011749973520636559;0.01445333231240511;0.015524831600487232;0.016412060149013998;0.020234237797558306
SparseH5;MSSSparse_81x5x22_error_m (m);-0.009339277632534504;0.01039577554911375;0.0000015619665557495885;0.006238662402334683;-0.006998636201024055;-0.006205446179956197;-0.0050390298478305345;-0.002486870647408065;-0.001111011952161789;0.0011923070531338442;0.003702401276677846;0.00778613928705454;0.009099229611456395
