X Y 0 Strati PART_ID
3.757568 -0.046795 0.433522 1.9 2
3.657639 0.142728 0.476348 1.9 2
3.557709 0.332251 0.519175 1.9 2
3.483879 0.080647 0.550817 1.9 2
3.410049 -0.170957 0.582458 1.9 2
3.258009 -0.079819 0.647618 1.9 2
3.183671 0.152744 0.679422 1.9 2
3.109331 0.385307 0.711226 1.9 2
3.042491 0.237371 0.739928 1.9 2
2.975651 0.089435 0.768629 1.9 2
2.911008 -0.106602 0.796555 1.9 2
2.846365 -0.302639 0.82448 1.9 2
2.806976 -0.091239 0.842408 1.9 2
2.767587 0.120161 0.860336 1.9 2
2.728198 0.331561 0.878263 1.9 2
2.603308 0.293911 0.929977 1.9 2
2.529357 0.120161 0.956868 1.9 2
2.455406 -0.05359 0.98376 1.9 2
2.374215 0.154565 1.01893 1.9 2
2.293024 0.36272 1.05409 1.9 2
2.241224 0.11513 1.08167 1.9 2
2.189423 -0.13246 1.10925 1.9 2
2.137623 -0.38005 1.13683 1.9 2
2.08453 -0.097375 1.16855 1.9 2
2.031436 0.1853 1.20027 1.9 2
1.978343 0.467975 1.23199 1.9 2
1.906072 0.189314 1.27336 1.9 2
1.833802 -0.089347 1.31473 1.9 2
1.773329 0.047195 1.34576 1.9 2
1.712855 0.183737 1.37679 1.9 2
1.588676 0.21997 1.42333 1.9 2
1.449048 0.221769 1.47608 1.9 2
1.282788 0.131623 1.52547 1.9 2
1.222368 -0.077775 1.5421 1.9 2
1.161949 -0.287173 1.55873 1.9 2
1.10153 -0.49657 1.57537 1.9 2
1.06078 -0.262979 1.58784 1.9 2
1.020031 -0.029388 1.6003 1.9 2
0.979281 0.204204 1.61277 1.9 2
0.938531 0.437795 1.62523 1.9 2
0.899269 0.214658 1.63814 1.9 2
0.860006 -0.008479 1.65104 1.9 2
0.820743 -0.231617 1.66394 1.9 2
0.781481 -0.454754 1.67685 1.9 2
0.718541 -0.21175 1.6968 1.9 2
0.655602 0.031253 1.71676 1.9 2
0.592662 0.274256 1.73672 1.9 2
